  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  4.3000e-13           91.47725861            0.00000000        2085.83213973        31446.84710887        33532.67924860 
  4.3500e-13           92.22638261            0.00000000        2102.91340049        22667.29972051        24770.21312099 
  4.4000e-13           92.96029019            0.00000000        2119.64770206        17385.25734972        19504.90505178 
  4.4500e-13           93.67438850            0.00000000        2135.93031935        14517.92193047        16653.85224982 
  4.5000e-13           94.36431427            0.00000000        2151.66176310        13185.27485372        15336.93661682 
  4.5500e-13           95.02600622            0.00000000        2166.74942933        12645.77749749        14812.52692682 
  4.6000e-13           95.65578087            0.00000000        2181.10932840        12318.07836971        14499.18769810 
  4.6500e-13           96.25042055     80467840.79271352        2194.66809242        11876.68878256        14071.35687498 
  4.7000e-13           96.80826945            0.00000000        2207.38796602        11343.72769962        13551.11566564 
  4.7500e-13           97.32621046            0.00000000        2219.19787390        11122.86789038        13342.06576428 
  4.8000e-13           97.80305792            0.00000000        2230.07078115        11980.41235184        14210.48313299 
  4.8500e-13           98.23850517            0.00000000        2239.99969554        15001.02822747        17241.02792302 
  4.9000e-13           98.63316825            0.00000000        2248.99866378        21475.22528483        23724.22394861 
  4.9500e-13           98.98856603     94972998.72779416        2257.10231853        32550.18757380        34807.28989233 
  5.0000e-13           99.30766187            0.00000000        2264.37822905        48474.26476499        50738.64299404 
  5.0500e-13           99.59277114            0.00000000        2270.87918988        67614.25432051        69885.13351039 
  5.1000e-13           99.84726944            0.00000000        2276.68217023        86040.38196358        88317.06413381 
  5.1500e-13          100.07468522            0.00000000        2281.86762457        98642.70029099       100924.56791556 
  5.2000e-13          100.27844744            0.00000000        2286.51373863       101692.23341531       103978.74715394 
  5.2500e-13          100.46167271            0.00000000        2290.69157652        95113.14823363        97403.83981015 
  5.3000e-13          100.62701459            0.00000000        2294.46164378        82502.65132436        84797.11296814 
  5.3500e-13          100.77658119            0.00000000        2297.87200859        68859.94276662        71157.81477520 
  5.4000e-13          100.91191187            0.00000000        2300.95777090        57965.10498350        60266.06275440 
  5.4500e-13          101.03399489            0.00000000        2303.74146487        51195.18114588        53498.92261075 
  5.5000e-13          101.14330778            0.00000000        2306.23397878        47918.23392794        50224.46790672 
  5.5500e-13          101.23986948            0.00000000        2308.43574448        46528.85203694        48837.28778142 
  5.6000e-13          101.32330360            0.00000000        2310.33817975        45348.21703210        47658.55521185 
  5.6500e-13          101.39291989            0.00000000        2311.92554595        43189.24040951        45501.16595546 
  5.7000e-13          101.44782303     53725445.42242622        2313.17742791        39650.02860329        41963.20603121 
  5.7500e-13          101.48814275            0.00000000        2314.09678401        35158.42865330        37472.52543731 
  5.8000e-13          101.51191970            0.00000000        2314.63893746        30759.35272323        33073.99166070 
  5.8500e-13          101.51857558            0.00000000        2314.79070253        27728.40872908        30043.19943161 
  5.9000e-13          101.50797665            0.00000000        2314.54902960        27176.69714640        29491.24617600 
  5.9500e-13          101.48056058     77381903.00105315        2313.92389799        29759.58933073        32073.51322873 
  6.0000e-13          101.43933409            0.00000000        2312.98386605        35489.32848125        37802.31234730 
  6.0500e-13          101.38373260            0.00000000        2311.71606065        43635.26015013        45946.97621078 
  6.1000e-13          101.31597197            0.00000000        2310.17100659        52788.07204601        55098.24305260 
  6.1500e-13          101.23869804            0.00000000        2308.40903375        61195.56614661        63503.97518036 
  6.2000e-13          101.15482752            0.00000000        2306.49664772        67324.65835276        69631.15500048 
  6.2500e-13          101.06738109     68892508.72990607        2304.50272520        70394.98855317        72699.49127837 
  6.3000e-13          100.98235937    169562217.57480666        2302.56409000        70601.49802727        72904.06211727 
  6.3500e-13          100.90171504     91051991.64620268        2300.72526642        68931.62096173        71232.34622815 
  6.4000e-13          100.83013437    137291796.43553972        2299.09310925        66695.26260778        68994.35571703 
  6.4500e-13          100.76933384     76790530.79178250        2297.70675696        64977.94111461        67275.64787157 
  6.5000e-13          100.71870633            0.00000000        2296.55236643        64230.68706061        66527.23942704 
  6.5500e-13          100.67788021    174120187.50645846        2295.62146378        64168.13635570        66463.75781948 
  6.6000e-13          100.65335634     55952001.33696827        2295.06227904        64029.47939820        66324.54167724 
  6.6500e-13          100.64095823            0.00000000        2294.77958165        63061.60740249        65356.38698414 
  6.7000e-13          100.63944682            0.00000000        2294.74511908        60938.20974831        63232.95486739 
  6.7500e-13          100.64844831    184333714.88951665        2294.95036799        57886.85474020        60181.80510819 
  6.8000e-13          100.67252935     54293960.88431135        2295.49945517        54527.29269032        56822.79214550 
  6.8500e-13          100.70772319            0.00000000        2296.30193266        51609.39916438        53905.70109704 
  6.9000e-13          100.75021744    138303134.85529304        2297.27087154        49817.81043685        52115.08130838 
  6.9500e-13          100.80102808            0.00000000        2298.42943787        49662.08214039        51960.51157826 
  7.0000e-13          100.85562072            0.00000000        2299.67424003        51385.15953219        53684.83377223 
  7.0500e-13          100.91232226            0.00000000        2300.96712839        54870.79474671        57171.76187511 
  7.1000e-13          100.96940922     93534525.90596683        2302.26880509        59634.48062258        61936.74942767 
  7.1500e-13          101.02759652     44072793.52680000        2303.59557150        65017.80653289        67321.40210439 
  7.2000e-13          101.08391338    136421853.71470883        2304.87968870        70591.50648729        72896.38617600 
  7.2500e-13          101.13807978            0.00000000        2306.11477175        76525.30854694        78831.42331868 
  7.3000e-13          101.18517317            0.00000000        2307.18857854        83500.47645077        85807.66502930 
  7.3500e-13          101.22338099    146989078.74298924        2308.05977976        91930.08943649        94238.14921625 
  7.4000e-13          101.25333019            0.00000000        2308.74267088       100889.88038433       103198.62305521 
  7.4500e-13          101.27058257            0.00000000        2309.13605347       107762.99567187       110072.13172534 
  7.5000e-13          101.27339646     52543282.45657460        2309.20021476       109354.52134441       111663.72155917 
  7.5500e-13          101.26078631     50478875.56357392        2308.91268274       103963.43510039       106272.34778313 
  7.6000e-13          101.23304464    114192522.87103955        2308.28012701        92758.04605380        95066.32618081 
  7.6500e-13          101.18987232    184462270.03999621        2307.29572687        79227.42622426        81534.72195113 
  7.7000e-13          101.13258705     57767040.79904306        2305.98952838        67207.78555945        69513.77508782 
  7.7500e-13          101.05589851    172816247.22602460        2304.24090342        59105.75720187        61409.99810529 
  7.8000e-13          100.95946799    199581971.05128258        2302.04212876        55401.03437547        57703.07650423 
  7.8500e-13          100.84482290            0.00000000        2299.42803193        55276.11046878        57575.53850071 
  7.9000e-13          100.70813257            0.00000000        2296.31126733        57623.24240749        59919.55367482 
  7.9500e-13          100.55048554     82852587.33577198        2292.71665534        61850.85733805        64143.57399339 
  8.0000e-13          100.37641283     64663370.56569732        2288.74751090        68196.03420324        70484.78171415 
  8.0500e-13          100.18676613     62818096.02548302        2284.42325393        77363.59507798        79648.01833191 
  8.1000e-13           99.98466180     40673745.13707998        2279.81494242        89531.80135415        91811.61629657 
  8.1500e-13           99.77160875    145899561.29022035        2274.95698186       103326.95088334       105601.90786520 
  8.2000e-13           99.53636549     52575189.96368119        2269.59304820       116432.61302371       118702.20607191 
  8.2500e-13           99.29634768     26785077.41032309        2264.12024679       125401.50903740       127665.62928419 
  8.3000e-13           99.05395837     44394650.13588292        2258.59337151       128807.81261387       131066.40598539 
  8.3500e-13           98.81438787     48920596.85750407        2253.13076963       127155.81447946       129408.94524909 
  8.4000e-13           98.58042596     99841331.50920251        2247.79605270       121630.55991907       123878.35597177 
  8.4500e-13           98.35924710     47265490.83402482        2242.75281058       113114.61936324       115357.37217382 
  8.5000e-13           98.15077812            0.00000000        2237.99937443       102925.59516461       105163.59453903 
  8.5500e-13           97.95611074            0.00000000        2233.56063765        94792.89324200        97026.45387965 
  8.6000e-13           97.77808469            0.00000000        2229.50135040        96985.88074983        99215.38210022 
  8.6500e-13           97.61951263            0.00000000        2225.88564639       124064.27179084       126290.15743723 
  8.7000e-13           97.48321955            0.00000000        2222.77793981       196181.94358453       198404.72152434 
  8.7500e-13           97.37199807     26645073.59459304        2220.24190670       330111.01083642       332331.25274311 
  8.8000e-13           97.28906348            0.00000000        2218.35086147       518400.79284557       520619.14370705 
  8.8500e-13           97.23593336            0.00000000        2217.13940730       710279.33974028       712496.47914758 
  8.9000e-13           97.21403968     50761698.24192408        2216.64019533       824859.66186720       827076.30206253 
  8.9500e-13           97.22311588            0.00000000        2216.84714765       804807.15928207       807024.00642972 
  9.0000e-13           97.26306066            0.00000000        2217.75795453       663564.98406438       665782.74201891 
  9.0500e-13           97.33200724     31399035.52522515        2219.33005000       472904.83120567       475124.16125567 
  9.1000e-13           97.42757435    134108345.84832621        2221.50913750       305984.93140296       308206.44054046 
  9.1500e-13           97.54394799     46993105.59797350        2224.16264819       196823.74856633       199047.91121452 
  9.2000e-13           97.68010371            0.00000000        2227.26722280       142229.27587864       144456.54310144 
  9.2500e-13           97.83010423            0.00000000        2230.68748176       123632.74802206       125863.43550383 
  9.3000e-13           97.98964495     42377817.22695466        2234.32527282       122825.52421520       125059.84948802 
  9.3500e-13           98.15601336     46175612.27357838        2238.11874653       126641.46673601       128879.58548254 
  9.4000e-13           98.32458173     56844353.03844449        2241.96238289       127094.02406678       129335.98644966 
  9.4500e-13           98.49288488    131755971.20858371        2245.79997201       121562.59661931       123808.39659132 
  9.5000e-13           98.65158718     61568287.06432171        2249.41864578       112769.79478662       115019.21343241 
  9.5500e-13           98.80114201     41643130.79507496        2252.82874216       106785.23302296       109038.06176512 
  9.6000e-13           98.93896752     73259641.78394914        2255.97139073       108949.24328312       111205.21467385 
  9.6500e-13           99.05403978            0.00000000        2258.59522784       119656.50359100       121915.09881884 
  9.7000e-13           99.15223552     59873855.60276386        2260.83425230       132905.25949510       135166.09374740 
  9.7500e-13           99.22818458     65545500.69834815        2262.56601593       139543.26476131       141805.83077723 
  9.8000e-13           99.28729817    133043291.21244098        2263.91390326       133650.48444225       135914.39834551 
  9.8500e-13           99.33267685     67949306.32187450        2264.94861178       116860.08070064       119125.02931242 
  9.9000e-13           99.35825602            0.00000000        2265.53185893        96726.12465182        98991.65651075 
  9.9500e-13           99.36543759    118461652.35064374        2265.69561064        81177.63691717        83443.33252781 
  1.0000e-12           99.35960474            0.00000000        2265.56261202        74394.79971120        76660.36232322 
