  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.80232171            0.00000000        5267.72520352       -45644.49401141       -40376.76880789 
  5.0000e-15           99.43697654            0.00000000        5248.44170465       -45553.41665853       -40304.97495389 
  1.0000e-14           99.21484809            0.00000000        5236.71741225       -45403.83631988       -40167.11890764 
  1.5000e-14           99.65894523            0.00000000        5260.15756495       -45197.04950619       -39936.89194124 
  2.0000e-14           98.53757483            0.00000000        5200.96985256       -44935.37760367       -39734.40775111 
  2.5000e-14           95.88087581            0.00000000        5060.74505473       -44622.45406675       -39561.70901202 
  3.0000e-14           92.66720769            0.00000000        4891.12254244       -44264.18459971       -39373.06205726 
  3.5000e-14           88.95548470            0.00000000        4695.21190223       -43867.74802531       -39172.53612308 
  4.0000e-14           84.99565821            0.00000000        4486.20596476       -43441.21229180       -38955.00632704 
  4.5000e-14           80.86785006            0.00000000        4268.33368834       -42994.02583335       -38725.69214501 
  5.0000e-14           76.78939178            0.00000000        4053.06617641       -42537.45177642       -38484.38560001 
  5.5000e-14           73.29012439            0.00000000        3868.36928045       -42082.91629055       -38214.54701010 
  6.0000e-14           69.49770555            0.00000000        3668.19938515       -41642.03546529       -37973.83608014 
  6.5000e-14           66.05316408            0.00000000        3486.39101042       -41226.20659957       -37739.81558915 
  7.0000e-14           64.17708105            0.00000000        3387.36836558       -40848.07925929       -37460.71089372 
  7.5000e-14           65.14958037            0.00000000        3438.69842543       -40517.43087698       -37078.73245155 
  8.0000e-14           65.72109801            0.00000000        3468.86403505       -40237.69574684       -36768.83171179 
  8.5000e-14           70.17621096            0.00000000        3704.01197907       -39994.99433864       -36290.98235957 
  9.0000e-14           68.63171374            0.00000000        3622.49096079       -39794.66053811       -36172.16957733 
  9.5000e-14           68.89894169            0.00000000        3636.59567672       -39638.67347065       -36002.07779393 
  1.0000e-13           72.30500353            0.00000000        3816.37303535       -39536.63589992       -35720.26286457 
  1.0500e-13           72.49159727            0.00000000        3826.22174973       -39509.86314904       -35683.64139931 
  1.1000e-13           73.42373445            0.00000000        3875.42143199       -39572.04086596       -35696.61943397 
  1.1500e-13           75.07940342            0.00000000        3962.81027248       -39705.18707496       -35742.37680247 
  1.2000e-13           78.19514059            0.00000000        4127.26383347       -39881.91253138       -35754.64869791 
  1.2500e-13           85.45241344            0.00000000        4510.31423224       -40083.98649195       -35573.67225971 
  1.3000e-13           92.90298301            0.00000000        4903.56713858       -40299.63355459       -35396.06641601 
  1.3500e-13          102.24296488            0.00000000        5396.54623049       -40509.60065475       -35113.05442426 
  1.4000e-13          112.37261787            0.00000000        5931.20541915       -40665.58525063       -34734.37983148 
  1.4500e-13          114.03653732            0.00000000        6019.02973317       -40775.54922488       -34756.51949171 
  1.5000e-13          115.57904052            0.00000000        6100.44550392       -40842.33835015       -34741.89284623 
  1.5500e-13          118.35577039            0.00000000        6247.00572104       -40898.72521877       -34651.71949773 
  1.6000e-13          124.34071183            0.00000000        6562.90044498       -40996.29805163       -34433.39760665 
  1.6500e-13          135.83993734            0.00000000        7169.84784883       -41132.99323659       -33963.14538776 
  1.7000e-13          140.00338784            0.00000000        7389.60138481       -41240.24523183       -33850.64384703 
  1.7500e-13          143.35355478            0.00000000        7566.42852220       -41297.52631282       -33731.09779062 
  1.8000e-13          146.51466967            0.00000000        7733.27719162       -41304.11652070       -33570.83932909 
  1.8500e-13          149.95776766            0.00000000        7915.00937743       -41286.80403126       -33371.79465382 
  1.9000e-13          150.36896615            0.00000000        7936.71308697       -41252.42411739       -33315.71103042 
  1.9500e-13          152.38924683            0.00000000        8043.34671349       -41223.02480955       -33179.67809607 
  2.0000e-13          162.59609533            0.00000000        8582.08040392       -41211.83736042       -32629.75695650 
  2.0500e-13          188.01153476            0.00000000        9923.54770164       -41273.55922649       -31350.01152485 
  2.1000e-13          189.74289354            0.00000000       10014.93157094       -41235.75076045       -31220.81918951 
  2.1500e-13          189.15512307            0.00000000        9983.90811089       -41047.75382242       -31063.84571153 
  2.2000e-13          186.15141624            0.00000000        9825.36768946       -40426.38242250       -30601.01473304 
  2.2500e-13          186.76143559            0.00000000        9857.56548042       -39871.18198786       -30013.61650744 
  2.3000e-13          197.00897387            0.00000000       10398.44684225       -40501.50707090       -30103.06022866 
  2.3500e-13          207.66710637            0.00000000       10961.00001955       -40947.73852748       -29986.73850792 
  2.4000e-13          211.08767048            0.00000000       11141.54283134       -41041.35488764       -29899.81205630 
  2.4500e-13          214.48501320    178046583.38818288       11320.85998111       -40994.34200447       -29673.48202336 
  2.5000e-13          220.70067662    139817087.03582564       11648.93257802       -40918.34478719       -29269.41220917 
  2.5500e-13          220.75300124            0.00000000       11651.69435440       -40866.38579862       -29214.69144422 
  2.6000e-13          222.42822505            0.00000000       11740.11533064       -40858.86995316       -29118.75462253 
  2.6500e-13          225.85460415            0.00000000       11920.96506638       -40910.53188470       -28989.56681832 
  2.7000e-13          226.71126851            0.00000000       11966.18117350       -40983.26877807       -29017.08760458 
  2.7500e-13          227.88785333            0.00000000       12028.28319048       -40999.59318577       -28971.30999528 
  2.8000e-13          320.42651287            0.00000000       16912.62075723       -40944.43727954       -24031.81652230 
  2.8500e-13          625.19942574            0.00000000       32999.01962079       -41101.83312111        -8102.81350032 
  2.9000e-13          610.12830434            0.00000000       32203.54187352       -39844.85915817        -7641.31728466 
  2.9500e-13          892.43170997            0.00000000       47103.96442341       -27388.79596055        19715.16846286 
